month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202006,8013,"boulder, co",732550,0.0464,0.1722,1407,0.1794,-0.161,36,-0.2,0,856,0.0542,-0.1406,40,0.6667,-0.3333,516,0.3871,-0.2753,1163,0.4376,0.0515,322.1086952,0.0561,0.1832,2652.5,-0.0237,-0.0187,1074178,0.0035,0.07,2570,0.2837,-0.0765,0.8266,0.1485,0.1671
202006,51069,"frederick, va",355540,0.0186,0.0773,268,-0.1155,-0.3111,78.5,0.0903,0.2266,144,0.2,0.2,44,2.6667,1.2,56,-0.3,-0.44,148,0.1746,0.3704,154.1377596,0.051,0.0501,2227,-0.0049,0.0004,391227,0.0361,0.083,416,-0.0303,-0.163,0.5522,0.1364,0.2746
202006,17111,"mchenry, il",294550,0.012,0.0159,1113,-0.0702,-0.3343,52,-0.1875,0.1818,664,0.2029,-0.2523,8,1,1,420,0.0194,-0.4643,1170,0.2554,0.0864,125.6420389,0.0082,0.0053,2225.5,0.0116,-0.0153,333657,0.0157,0.0066,2283,0.0723,-0.1695,1.0512,0.2726,0.4071
202006,19103,"johnson, ia",280950,0.0036,-0.031,1457,-0.0221,0.0666,71.5,0.0833,0.1349,368,-0.0612,0.0824,0,-1,-1,204,0.1087,-0.0377,315,0.0751,1.25,138.8020833,0.0026,0.0228,2058,0.001,-0.0415,332006,0.0206,-0.0106,1772,-0.0062,0.1766,0.2162,0.0196,0.1137
202006,13157,"jackson, ga",324950,-0.0003,0.0327,920,-0.1042,-0.3372,58,-0.0333,0.0357,432,0.0909,-0.1563,80,-0.0476,0.6667,180,-0.3182,-0.5109,784,0.2748,0.0262,117.5900901,0.0025,0.0944,2486,0.0012,0.0016,405299,0.006,0.0577,1704,0.0378,-0.2082,0.8522,0.2533,0.3017
202006,54079,"putnam, wv",232500,-0.031,-0.1532,123,-0.1458,-0.5176,65.5,-0.0224,-0.0643,44,-0.2143,-0.4762,0,,,28,0,-0.5333,115,0.055,0.0455,110.1871102,0.0927,0.1187,1980.5,-0.0186,-0.1682,340780,0.06,-0.013,238,-0.0593,-0.3479,0.935,0.178,0.5036
202006,6109,"tuolumne, ca",384950,0.0695,0.0264,383,-0.0353,-0.4135,71.5,-0.1875,0.2544,136,-0.0286,-0.32,0,-1,-1,88,0.1,-0.6071,237,0.4277,1.4688,205.5630317,0.012,0.0087,1878,0.0234,0.0016,480338,0.0386,0.0457,620,0.1012,-0.1722,0.6188,0.2007,0.4718
202006,38015,"burleigh, nd",309995,-0.0082,0.0335,373,-0.0362,-0.3041,54,-0.129,0.0189,140,-0.186,-0.2708,4,,,108,0.125,-0.3415,324,0.3117,,141.5007871,-0.0026,0.0513,2074,-0.0254,-0.029,356762,0.0096,0.0501,697,0.0994,0.3004,0.8686,0.2304,0.8686
202006,22045,"iberia, la",145000,0.0737,0.0353,154,-0.061,-0.3913,122,0.0609,0.1509,28,-0.125,-0.4615,0,,,44,0.2222,-0.3529,68,0.1724,-0.0556,84.08653846,0.0392,0.0702,1850,0.0227,-0.0165,204787,0.0682,0.085,222,0,-0.3169,0.4416,0.0879,0.157
202006,1113,"russell, al",188650,-0.0373,0.0722,152,-0.0898,-0.4795,52,-0.2877,-0.1746,84,0.5,-0.3438,0,-1,,24,0.5,-0.4,26,0.2381,25,88.62842963,0.0031,0.1092,2004.5,-0.0509,-0.0495,202412,-0.0165,-0.0982,178,-0.0532,-0.3925,0.1711,0.0453,0.1676
202006,10005,"sussex, de",365500,0.0096,0.0294,1914,-0.092,-0.2725,111.5,0.0619,0.1378,480,0.1429,-0.0977,48,-0.1429,-0.1429,316,0.2154,-0.378,309,0.5765,1.3233,172.7656397,-0.0026,0.0199,1985.5,0.0074,0.014,519117,0.0103,0.03,2223,-0.0352,-0.1957,0.1614,0.0685,0.1109
202006,41053,"polk, or",403547.5,0.009,0.0908,241,0.0042,-0.4817,37,-0.1395,-0.1957,176,0.3333,-0.2281,24,0,2,56,-0.125,-0.6111,265,0.2212,0.4324,193.8039029,0.0055,0.0475,2286,0.0111,0.1261,582687,0.0078,0.2946,506,0.1072,-0.2215,1.0996,0.1954,0.7017
202006,26081,"kent, mi",313000,-0.0217,0.0435,1062,-0.0266,-0.1837,40,-0.2857,0.3793,824,-0.0144,-0.1953,12,-0.25,-0.25,336,0.377,-0.4247,1587,0.5854,792.5,150.8379029,-0.0017,0.1137,2075,-0.0166,-0.0564,391732,0.0034,0.0549,2649,0.2663,1.033,1.4944,0.5768,1.4928
202006,37065,"edgecombe, nc",92500,-0.0258,0.2325,80,-0.1753,-0.4406,111,0.3875,-0.1395,16,-0.2,-0.3333,0,,,12,0,-0.5,58,0.45,0.5263,61.70076726,-0.0183,0.1017,1526,0.0381,0.1221,130753,0.0454,-0.1883,138,0.0073,-0.2376,0.725,0.3126,0.4593
202006,36045,"jefferson, ny",189550,0.0586,0.0533,556,-0.469,-0.6394,113,-0.1172,0.5067,196,0.1136,-0.5505,0,-1,,112,-0.2432,-0.7021,272,-0.1733,0.1057,108.695667,0.0545,0.0391,1660.5,-0.0116,-0.0116,278354,0.0709,0.1145,828,-0.3983,-0.5369,0.4892,0.175,0.3297
202006,53005,"benton, wa",426750,-0.0072,0.1409,384,0.0026,-0.0791,46.5,-0.1545,0.2917,228,0.1176,-0.1857,16,1,3,88,0.0476,-0.5,369,0.0696,0.025,186.1539605,0.0129,0.0947,2358.5,-0.0206,0.0581,452998,0.0028,0.1067,753,0.0343,-0.0309,0.9609,0.0602,0.0976
202006,42069,"lackawanna, pa",178550,0.0562,0.0884,433,-0.0525,-0.3797,107,0,0.507,172,2.0714,-0.1042,0,-1,,120,2.75,-0.4545,313,1.0728,0.0574,94.44444444,0.0121,0.048,1924.5,0.0403,0.0129,243461,0.0935,0.0891,746,0.227,-0.2495,0.7229,0.3924,0.2988
202006,21113,"jessamine, ky",358450,0.1253,0.0255,115,-0.065,-0.3503,55.5,-0.075,0.0091,56,0.0769,-0.1765,4,-0.6667,0,32,-0.1111,-0.5,252,0.156,0.5181,129.9358318,0.0237,0.0411,2535.5,0.0438,-0.0311,518623,0.1229,0.1179,367,0.0762,0.07,2.1913,0.4189,1.2535
202006,50021,"rutland, vt",250050,0.004,0.0638,353,-0.014,-0.3997,149,-0.1534,0.4608,92,0.3529,-0.2581,0,,,40,0.25,-0.5,130,0.4607,0.2871,129.5230613,-0.0088,0.0516,2036,0.0604,0.0538,374189,0.0317,0.1793,483,0.0805,-0.299,0.3683,0.1197,0.1965
202006,37105,"lee, nc",259800,0.0434,0.0411,144,-0.2764,-0.5752,63.5,0.0583,-0.1056,68,-0.2609,-0.4688,0,-1,-1,28,-0.3,-0.5625,210,0.1053,0.2139,113.4757576,0.0055,0.0699,2300,0.0231,0,291485,0.0579,0.0364,354,-0.09,-0.3086,1.4583,0.5036,0.948
202006,26065,"ingham, mi",199500,0.1739,0.1086,571,-0.1036,-0.302,49,-0.2097,0.1395,344,-0.0444,-0.3008,4,0,0,196,0.2895,-0.1695,683,0.6108,0.0459,103.8422624,0.0487,0.0412,1771,0.051,0.019,263686,0.0766,0.0981,1254,0.1819,-0.1475,1.1961,0.5305,0.3979
202006,27027,"clay, mn",259950,0,0.0843,269,0.0426,-0.1994,48,-0.1864,0.2973,136,0.2143,-0.1053,0,,,100,0.1905,-0.2647,78,0.2188,14.6,107.4469609,-0.0129,0.0043,2345,-0.0042,0.034,275512,-0.0091,0.0485,347,0.0776,0.0176,0.29,0.0419,0.2751
202006,51059,"fairfax, va",764500,0.0193,0.0194,1593,0.0057,-0.3514,32.5,-0.1667,-0.0714,1444,0.2622,-0.1064,60,0.5,0.5,452,0.0865,-0.5129,819,0.1312,0.3361,288.8327665,0.0076,0.0691,2600,0,-0.042,1107708,0.0041,0.1229,2412,0.0451,-0.2141,0.5141,0.0571,0.2645
202006,17183,"vermilion, il",88800,0.0503,0.038,411,-0.0352,0.181,228.5,0.1599,1.6882,76,0.4615,-0.1364,0,,,36,0,-0.4375,68,0.2143,1.9565,55.45454545,0.0397,0.0108,1619.5,-0.0137,-0.0137,115609,0.0121,-0.0218,479,-0.0062,0.2911,0.1655,0.034,0.0994
