month_date_yyyymm,postal_code,zip_name,nielsen_hh_rank,hotness_rank,hotness_rank_mm,hotness_rank_yy,hotness_score,supply_score,demand_score,median_days_on_market,median_days_on_market_mm,median_dom_mm_day,median_days_on_market_yy,median_dom_yy_day,median_dom_vs_us,ldpviews_per_property_mm,ldpviews_per_property_yy,ldpviews_per_property_vs_us,median_listing_price,median_listing_price_mm,median_listing_price_yy,median_listing_price_vs_us
202006,77954,"cuero, tx",9093,12667,-155,821,12.846109,8.780238997,16.91197901,136.5,0.1471,17.5,0.7063,56.5,65,0.1863,0.6351,0.545,189750,0.3358,0.2654,0.5555
202006,77836,"caldwell, tx",8740,10492,-407,735,29.164238,25.46633635,32.86213932,96,0.3333,24,0.0549,5,24.5,0.5849,0.2923,0.7568,369050,0.0279,0.2724,1.0805
202006,77351,"livingston, tx",3345,10355,582,4080,30.11877,35.0043719,25.23316817,83,-0.0879,-8,-0.1531,-15,11.5,0.1967,1.2121,0.6577,229550,0.02,0.0928,0.672
202006,77550,"galveston, tx",4247,9479,-632,780,35.765812,32.57796561,38.95365783,86,0.1316,10,0.2113,15,14.5,0.25,0.5164,0.8333,330050,0.0154,0.1037,0.9663
202006,77058,"houston, tx",4667,10575,-117,-488,28.661469,41.18332848,16.13960944,77,0,0,0.4259,23,5.5,0.0926,0.3409,0.5315,247050,0.1488,-0.1739,0.7232
202006,77506,"pasadena, tx",4072,9041,-3609,1950,38.337948,62.59108132,14.08481492,54.5,0.2386,10.5,-0.0917,-5.5,-17,-0.1385,0.2444,0.5045,159000,0.0255,0.1861,0.4654
202006,77023,"houston, tx",4821,11259,342,-842,23.907024,47.17283591,0.641212474,69.5,-0.0347,-2.5,0.6548,27.5,-2,0.2857,0.0588,0.1622,341550,0.0352,0.0197,0.9999
202006,77856,"franklin, tx",12714,13068,487,-479,8.816672,3.439230545,14.1941125,202,0.086,16,2.1077,137,130.5,0.4359,0.697,0.5045,359950,-0.0403,0.045,1.0538
202006,7760,"rumson, nj",10373,3671,3648,2966,67.345526,63.70591664,70.98513553,53.5,-0.392,-34.5,-0.1371,-8.5,-18,0.3274,0.7241,1.3514,1597050,0.0013,-0.0466,4.6762
202006,7751,"morganville, nj",7140,3836,4080,1329,66.332702,42.58962402,90.07577966,75,-0.1573,-14,0.3158,18,3.5,1.149,1.2576,2.0135,549500,0.0177,-0.1534,1.6088
202006,77535,"dayton, tx",4228,10339,-2055,1364,30.209851,52.65957447,7.760128242,63.5,0.2451,12.5,0.1339,7.5,-8,0.0233,0.4667,0.3964,285765,-0.0162,0.1428,0.8366
202006,77079,"houston, tx",2797,10782,209,1179,27.255173,52.26610318,2.244243661,64,-0.0303,-2,0.2549,13,-7.5,0.3095,0.6176,0.2477,530050,-0.0183,0.0097,1.5519
202006,77044,"houston, tx",3324,7116,-380,3042,49.038181,72.85776741,25.21859516,46.5,-0.1696,-9.5,-0.051,-2.5,-25,0.0735,1.0278,0.6577,281870,0.0069,-0.0282,0.8252
202006,77360,"onalaska, tx",12069,13156,479,1405,7.894929,11.30136986,4.488487321,126,-0.1429,-21,0.3696,34,54.5,0.2069,0.2069,0.3153,269950,-0.0357,0.384,0.7903
