month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_feet,median_listing_price_per_square_feet_mm,median_listing_price_per_square_feet_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy
202006,iowa,ia,225000,0.011,0.023,12127,-0.0481,-0.1252,77,0.0548,0.375,4284,0.0298,-0.1459,388,0.3662,0.0543,3504,0.1481,-0.2589,8465,0.1431,0.5772,128.8530263,0.0115,0.0237,1643.5,0.0027,-0.0063,262171,0.0205,0.0184
202006,alabama,al,258574,0.0336,0.0821,16300,-0.0829,-0.2877,77,0.0267,0.0845,5832,-0.0202,-0.1616,876,0.2733,0.46,3288,0.0353,-0.3763,6940,0.1705,1.6499,115.0353218,0.0091,0.0674,2074,0.0137,0.037,336605,0.0226,0.0744
202006,tennessee,tn,323945,0.0315,0.0979,18150,-0.0955,-0.3247,55,-0.0678,0.0784,8836,-0.0273,-0.2054,852,0.0812,0.5106,4868,0.0509,-0.3749,14745,0.1647,0.2377,141.207842,0.0229,0.113,2035.5,0.0067,-0.0214,452664,0.0424,0.1218
202006,missouri,mo,229950,0.0218,0.0698,15609,-0.075,-0.3236,74,0.0137,0.2333,7060,0.0915,-0.2392,380,0.3194,0.092,3812,0.1524,-0.4374,14647,0.1755,0.4931,113.438132,0.0157,0.0272,1882.5,0.0187,0.0458,312527,0.0388,0.0845
202006,indiana,in,235000,0.022,0.0684,11335,-0.1025,-0.3518,58,-0.0938,0.1373,6092,-7.00E-04,-0.287,276,0.38,0.4681,3636,0.0412,-0.4214,8874,0.1765,0.127,107.0222088,0.0169,0.0927,2016.5,0.0123,-0.0154,302131,0.0405,0.0479
202005,massachusetts,ma,575049,0.0454,0.0474,13370,0.0535,-0.2782,66,0.2,0.5714,7192,0.6602,-0.3532,164,0.2059,0,2968,0.6489,-0.4504,2938,0.4051,-0.1715,283.3858268,0.0184,0.0504,1980,0.0138,-0.01,901145,0.0235,0.0622
202005,arizona,az,366498,0.0231,0.0395,19278,-0.0612,-0.2495,56,0.2874,0.037,8392,-0.0429,-0.2571,708,0.3015,-0.2063,6576,0.0148,-0.3761,15078,0.134,-0.1263,187.65625,0.0219,0.0861,2041,0.0064,-0.0343,578001,0.0362,0.049
202005,south dakota,sd,249950,0,0.0339,3475,0.0209,-0.0778,52,0.0297,0.1818,1316,0.1384,-0.1455,12,-0.4,-0.625,436,0.172,-0.2534,777,0.278,1.8885,130.7433694,0.0041,0.0687,1940,-0.001,-0.0324,320926,0.0019,0.0555
202005,ohio,oh,205050,0.0497,0.0515,19907,-0.073,-0.308,64,0.113,0.3333,9896,0.2278,-0.3376,412,0.1075,0.2716,5556,0.1247,-0.401,20293,0.1516,-0.0197,100.234375,0.0247,-0.0034,1728,0.0141,0.0341,289827,0.0543,0.0639
202005,colorado,co,500050,2.00E-04,0.0429,20163,0.1079,-0.1286,58,0.1373,0.3034,10600,0.7411,-0.204,476,0.0721,-0.2699,6076,1.3884,-0.174,11126,0.1858,-0.2804,209.6083231,-0.0059,0.0617,2420,0.0211,8.00E-04,881338,-0.0355,0.0256
202005,mississippi,ms,212050,0.0341,0.0382,8511,-0.0667,-0.2058,94,0.0805,0.175,2188,0.1763,-0.2951,144,0.3846,0.125,1516,0.3206,-0.3244,3714,0.1854,0.2607,100,0.013,0.0774,2000,0.002,0.0201,270778,0.0184,0.0326
202005,north dakota,nd,239050,0.0175,-0.0038,2994,0.0239,-0.1804,73,-0.0458,0.3036,984,0.3667,-0.2657,20,-0.5455,-0.5,664,0.4955,-0.2622,1029,0.2783,3.2346,113.5756887,0.0072,0.0143,2118,0.0057,-0.0091,277475,0.0129,-0.0239
202005,new hampshire,nh,384950,0.0327,0.1,3620,-0.0028,-0.2993,66,0.056,0.32,1880,0.6041,-0.3472,96,0.5,0.3333,604,0.2377,-0.4793,1858,0.1336,-0.2094,185.3162318,0.0097,0.0825,2000,0.0215,-0.0074,488317,0.0283,-0.0242
202005,hawaii,hi,629050,0.002,-0.0968,6693,0.1982,0.1028,80,0.0127,0.0458,1324,0.1655,-0.2511,56,0.75,0.1667,692,0.0359,-0.4346,665,-0.0235,-0.355,509.4339623,-0.0185,0.004,1214,0.0058,-0.1067,1148863,-0.0799,-0.1448
202005,california,ca,620000,0.0508,0.0744,65129,0.0479,-0.2332,59,0.1569,0.4568,33416,0.4107,-0.296,1384,-0.0226,-0.2607,14608,0.386,-0.44,37207,0.1083,-0.1326,338.375,0.0527,0.0854,1865,0.0111,-0.0037,1261009,0.0332,0.1668
202005,west virginia,wv,170050,0.0059,-0.0283,5678,-0.0593,-0.2662,96,0.0323,0.1925,1396,0.1405,-0.3501,48,-0.3333,-0.2,956,0.2919,-0.4099,2175,0.1744,0.0533,83.33333333,-0.0026,-0.0362,1646,0.0061,-0.0202,238137,0.0214,0.0051
202005,michigan,mi,239950,0.0476,0.0435,28443,0.0529,-0.1849,77,0.0405,0.6923,14548,2.4279,-0.1785,372,0.7885,-0.1842,5364,2.6841,-0.4335,8866,0.1286,0.422,135.9375,0.0394,0.0601,1693,0.0138,-0.0128,333939,0.0356,0.0301
202005,oregon,or,439950,0.0327,0.0254,12073,-0.0299,-0.233,60,0.2371,0.3793,5384,0.1245,-0.3716,1332,-0.0593,3.3247,3864,0.1338,-0.2382,8521,0.2525,2.7112,224.8875562,0.0087,0.0242,2000,0.0246,0.0065,573690,0.0279,0.0227
202005,district of columbia,dc,695050,0.0146,0.0685,1324,0.0475,-0.1173,43,0.1944,0.5357,776,0.2597,-0.3533,12,-0.25,-0.5,336,0.377,-0.3115,318,0.2619,0.0565,530.2325581,0.0248,0.0575,1351,0.0067,-0.0529,1039271,0.0188,0.0354
202005,oklahoma,ok,229950,0.022,0.0952,11629,-0.0662,-0.2247,64,0.094,0.1429,4532,0.1668,-0.1872,228,0.2128,0.3256,2600,0.2195,-0.3264,3403,0.1949,0.0366,112.6389702,0.0233,0.0918,1966,0.0168,0.0085,302375,0.0332,0.0765
202005,nevada,nv,346050,0.0029,0.0328,11356,0.0258,-0.104,56,0.2444,0.2874,3996,0.0483,-0.3227,276,0.2778,-0.1882,3140,0.163,-0.4021,1671,0.0957,-0.5172,184.8739496,0.0017,0.0423,1880,0.0053,-0.009,590830,-0.0021,0.0359
202005,nebraska,ne,255050,0.0297,0.0136,4716,-0.053,-0.0751,67,0.0806,0.7179,2124,0.2583,-0.218,120,0.1111,0.4286,764,0.0495,-0.3203,4365,0.1526,8.6358,119.3942924,0.0258,0.0117,1978,0.0199,-0.0083,300926,0.035,0.0172
202005,tennessee,tn,314050,0.047,0.0648,20067,-0.0524,-0.2369,59,0.1132,0.2041,9084,0.1773,-0.2356,788,0.5154,0.216,4632,0.1592,-0.3439,12660,0.2346,0.0358,138.047619,0.0276,0.0845,2022,0.0115,-0.0244,434252,0.0449,0.0847
202005,georgia,ga,309950,0.0333,0.0364,56943,-0.0381,-0.2092,62,0.0973,0.1171,22524,0.1464,-0.2425,2300,0.298,0.0323,14284,0.2327,-0.3233,32052,0.1388,-0.0532,117.25,0.0168,0.0985,2068,0.0122,0.0281,421770,0.0307,0.0488
202005,utah,ut,448950,0.032,0.0771,9982,-0.0351,-0.1562,57,0.2,0.14,4796,0.097,-0.192,428,0.2892,-0.1641,2532,0.0293,-0.312,8492,0.1994,0.0513,175.4701212,0.0234,0.13,2599,0.0089,-0.041,750655,0.0225,0.1131
202005,louisiana,la,239950,0.0232,0.0359,15604,-0.0547,-0.195,88,0.1,0.1733,4020,0.3035,-0.2334,128,-0.3469,-0.5224,3268,0.4184,-0.3642,6349,0.171,0.5365,121.7906517,0.0151,0.0387,1937,0.0068,0.0195,314412,0.0253,0.0231
202005,south carolina,sc,289050,0.0304,0.0035,24627,-0.0534,-0.1667,79,0.1049,0.1127,7204,0.1764,-0.2423,808,-0.1255,-0.2348,5320,0.1456,-0.3509,11987,0.1201,0.0108,127.3046875,-0.0037,0.1532,1722,-0.0089,0.0762,432681,0.0249,0.0132
202005,minnesota,mn,310050,0.0234,0.0368,17137,0.0655,-0.1563,52,0.1064,0.2381,8716,0.2374,-0.254,184,0,-0.2333,3640,0.2053,-0.2626,10413,0.1125,-0.0516,152.880288,0.011,0.0597,2017,0.0035,-0.012,397372,-0.0025,0.0336
202005,illinois,il,244950,0.0421,-0.086,45157,-0.0187,-0.139,73,0.0896,0.6222,16880,0.3609,-0.3132,244,0,-0.3146,10308,0.3068,-0.3969,24535,0.0612,-0.1389,119.3333333,0.0301,-0.0526,1739,0.0134,-0.0236,361778,0.0345,-0.0578
202005,connecticut,ct,385050,0.0267,0.0269,15560,-0.0209,-0.3311,71,0.1545,0.3396,5128,0.7185,-0.3096,156,0.4444,0.3448,2184,0.3157,-0.5919,121,0.0254,0.0168,178.2302665,0.0181,-0.0093,2142,0.0147,0.0355,784835,0.0411,0.0393
202005,alabama,al,250162,0.0045,0.0578,17774,-0.0451,-0.2109,75,0.0563,0.0638,5952,0.2277,-0.1687,688,0.3438,0.1622,3176,0.1833,-0.3673,5929,0.1453,1.0724,114,0.0199,0.063,2046,0.0119,0.023,329168,0.0275,0.0607
202005,missouri,mo,225050,0.0539,0.0467,16874,-0.0612,-0.2328,73,0.1145,0.2373,6468,0.1387,-0.296,288,0.0909,-0.2421,3308,0.1131,-0.4363,12460,0.1797,0.2275,111.6875,0.0301,0.0167,1848,0.023,0.0281,300863,0.0464,0.0543
202005,new york,ny,499050,-0.001,0.004,60142,-0.0536,-0.1684,74,0.2759,0.2033,14016,0.8698,-0.4424,588,1.1,-0.2538,5156,0.7141,-0.668,28168,-0.0807,0.9919,189.625,0.0117,0.1586,1540,0.0142,0.0267,1081782,-0.0474,-0.0192
