month_date_yyyymm,postal_code,zip_name,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,price_increased_count,price_reduced_count,pending_listing_count,median_listing_price_per_square_feet,median_square_feet,average_listing_price,total_listing_count,pending_ratio
202006,77316,"montgomery, tx",359545,277,67.5,100,16,80,161,139.0028991,2495.5,467329,438,0.5812
202006,77406,"richmond, tx",344787.5,275,60.5,128,24,76,313,125.2312196,2920.5,445989,588,1.1382
202006,77346,"humble, tx",291100,390,41.5,220,52,132,305,114.5760445,2586,361875,695,0.7821
202006,77304,"conroe, tx",306645.5,265,55,112,20,84,188,129.3599319,2518.5,381500,453,0.7094
202006,77093,"houston, tx",180750,33,75,8,0,8,9,130.2083333,1300,222590,42,0.2727
202006,77396,"humble, tx",279950,129,55.5,68,4,32,119,109.6170812,2620.5,334337,248,0.9225
202006,77551,"galveston, tx",199250,149,92.5,48,0,24,59,201.6894754,931,263913,208,0.396
202006,77494,"katy, tx",392050,525,45,308,12,212,408,123.1601806,3307.5,452918,933,0.7771
202006,77517,"santa fe, tx",327300,18,88,4,0,4,16,160.0440919,2125,359588,34,0.8889
202006,77026,"houston, tx",172550,40,82.5,16,0,12,16,128.8836319,1389,188952,56,0.4
202006,77905,"victoria, tx",294050,36,89,12,0,12,23,143.6767557,2007.5,355823,59,0.6389
202006,77099,"houston, tx",171000,45,87,20,0,8,32,90.76164167,1703,149420,77,0.7111
202006,77351,"livingston, tx",229550,178,83,52,0,24,66,129.5738602,1769.5,320811,244,0.3708
202006,77357,"new caney, tx",259450,142,59,68,16,44,87,112.7503466,2294,285532,229,0.6127
202006,77017,"houston, tx",200049.5,20,44.5,8,0,8,15,114.1672469,1728,210008,35,0.75
202006,77051,"houston, tx",189000,54,72.5,12,0,8,34,119.2748092,1509.5,192139,88,0.6296
202006,77055,"houston, tx",589500,348,59,108,4,100,90,231.666276,2551.5,683515,438,0.2586
202006,77003,"houston, tx",379050,120,44.5,40,0,16,41,197.8004212,1963,379129,161,0.3417
202006,77995,"yoakum, tx",219550,27,99.5,4,0,0,12,98.61177352,2103.5,359262,39,0.4444
