date,zip_code,permit_type,count,land_use
2017-02-02,77093,Unrestricted,1,Unrestricted
2017-02-02,77095,Commercial,1,Commercial
2017-02-02,77095,Unrestricted,1,Unrestricted
2017-02-02,77098,Unrestricted,1,Unrestricted
2017-02-02,77336,Other,1,"Church, School and Institutional"
2017-02-02,77336,Residential,1,Single Family Residential (Public Street)
2017-02-02,77346,Unrestricted,1,Unrestricted
2017-02-02,77357,Commercial,1,Commercial
2017-02-02,77365,Residential,1,Single Family Residential (Public Street)
2017-02-02,77365,Residential,1,"Church, School and Institutional; Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)"
2017-02-02,77375,Commercial,1,Commercial
2017-02-02,77375,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Other
2017-02-02,77375,Other,1,"Water Treatment, Production or Repressurization"
2017-02-02,77377,Other,1,Drainage or Detention; Landscape or Open Space; Street Dedication
2017-02-02,77377,Unrestricted,1,Unrestricted; Landscape or Open Space; Lift Station
2017-02-02,77377,Commercial,1,Commercial; Other
2017-02-02,77379,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-02,77379,Other,1,"Church, School and Institutional"
2017-02-02,77386,Unrestricted,1,Unrestricted
2017-02-02,77386,Unrestricted,1,Unrestricted
2017-02-02,77386,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-02,77388,Unrestricted,1,Unrestricted
2017-02-02,77389,Unrestricted,1,Unrestricted
2017-02-02,77389,Other,1,General Plan
2017-02-02,77406,Unrestricted,1,Unrestricted
2017-02-02,77406,Other,1,Landscape or Open Space
2017-02-02,77406,Residential,1,Single Family Residential (Public Street)
2017-02-02,77406,Residential,1,Single Family Residential (Public Street)
2017-02-02,77406,Other,1,Street Dedication
2017-02-02,77407,Other,1,"Drainage or Detention; Landscape or Open Space; Water Treatment, Production or Repressurization"
2017-02-02,77407,Unrestricted,1,Unrestricted
2017-02-02,77407,Unrestricted,1,Unrestricted; Landscape or Open Space
2017-02-02,77429,Unrestricted,1,Unrestricted
2017-02-02,77429,Other,1,General Plan
2017-02-02,77429,Commercial,1,Commercial
2017-02-02,77429,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street); Single Family Residential (PAE 1/PAE 2)
2017-02-02,77429,Unrestricted,1,Unrestricted
2017-02-02,77433,Commercial,1,Commercial
2017-02-02,77433,Unrestricted,1,Unrestricted
2017-02-02,77447,Unrestricted,1,Unrestricted
2017-02-02,77449,Commercial,1,Commercial
2017-02-02,77493,Residential,1,Single Family Residential (Public Street)
2017-02-02,77493,Other,1,Street Dedication
2017-02-02,77493,Other,1,Landscape or Open Space
2017-02-02,77493,Commercial,1,Commercial
2017-02-02,77494,Unrestricted,1,Unrestricted
2017-02-02,77498,Commercial,1,Commercial
2017-02-02,77530,Residential,1,Single Family Residential (Public Street)
2017-02-02,77530,Residential,1,Single Family Residential (Public Street)
2017-02-02,77532,Residential,1,Single Family Residential (PAE 1/PAE 2)
2017-02-02,77532,Other,1,Street Dedication
2017-02-02,77532,Residential,1,Single Family Residential (Public Street)
2017-02-02,77532,Residential,1,Single Family Residential (Public Street)
2017-02-02,77532,Residential,1,Single Family Residential (Public Street)
2017-02-02,77545,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-02,77546,Other,1,Compensating Open Space; Drainage or Detention; Landscape or Open Space; Lift Station
2017-02-02,77598,Unrestricted,1,Unrestricted
2017-02-16,77003,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77003,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77004,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77004,Unrestricted,1,Unrestricted
2017-02-16,77004,Commercial,1,Commercial
2017-02-16,77007,Residential,1,Single Family Residential (Public Street)
2017-02-16,77007,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77007,Unrestricted,1,Unrestricted
2017-02-16,77008,Unrestricted,1,Unrestricted
2017-02-16,77008,Residential,1,Landscape or Open Space; Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-02-16,77009,Unrestricted,1,Unrestricted
2017-02-16,77012,Other,1,"Church, School and Institutional"
2017-02-16,77013,Commercial,1,Commercial
2017-02-16,77014,Unrestricted,1,Unrestricted
2017-02-16,77016,Residential,1,Unrestricted; Single Family Residential (Public Street)
2017-02-16,77017,Unrestricted,1,Unrestricted
2017-02-16,77018,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77018,Unrestricted,1,Unrestricted
2017-02-16,77019,Residential,1,Single Family Residential (Public Street)
2017-02-16,77019,Residential,1,Single Family Residential (Public Street)
2017-02-16,77019,Other,1,Street Dedication
2017-02-16,77020,Residential,1,Single Family Residential (Public Street)
2017-02-16,77020,Unrestricted,1,Unrestricted
2017-02-16,77020,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77020,Unrestricted,1,Unrestricted
2017-02-16,77021,Residential,1,Single Family Residential (Public Street)
2017-02-16,77022,Residential,1,Single Family Residential (Public Street)
2017-02-16,77022,Residential,1,Single Family Residential (Public Street)
2017-02-16,77027,Commercial,1,Commercial
2017-02-16,77035,Commercial,1,Commercial
2017-02-16,77038,Other,1,Drainage or Detention; Landscape or Open Space; Street Dedication
2017-02-16,77041,Commercial,1,Commercial
2017-02-16,77044,Other,1,Street Dedication
2017-02-16,77044,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77044,Residential,1,Single Family Residential (Public Street)
2017-02-16,77047,Commercial,1,Commercial
2017-02-16,77053,Commercial,1,Commercial
2017-02-16,77055,Unrestricted,1,Unrestricted
2017-02-16,77056,Residential,1,Single Family Residential (Shared Driveways)
2017-02-16,77061,Unrestricted,1,Unrestricted
2017-02-16,77064,Unrestricted,1,Unrestricted
2017-02-16,77070,Residential,1,Single Family Residential (Public Street)
2017-02-16,77070,Unrestricted,1,Unrestricted
2017-02-16,77075,Other,1,General Plan
2017-02-16,77075,Residential,1,Single Family Residential (Public Street)
2017-02-16,77078,Commercial,1,Commercial
2017-02-16,77079,Unrestricted,1,Unrestricted
2017-02-16,77080,Other,1,"Church, School and Institutional"
2017-02-16,77080,Unrestricted,1,Unrestricted
2017-02-16,77080,Other,1,Street Dedication
2017-02-16,77084,Unrestricted,1,Unrestricted
2017-02-16,77084,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77338,Commercial,1,Commercial
2017-02-16,77338,Commercial,1,Commercial
2017-02-16,77346,Residential,1,Single Family Residential (Public Street)
2017-02-16,77357,Residential,1,Single Family Residential (Public Street)
2017-02-16,77365,Other,1,General Plan
2017-02-16,77365,Unrestricted,1,Unrestricted
2017-02-16,77375,Residential,1,Landscape or Open Space; Single Family Residential (Public Street); Other
2017-02-16,77375,Residential,1,Single Family Residential (Public Street)
2017-02-16,77375,Other,1,"Water Treatment, Production or Repressurization"
2017-02-16,77375,Other,1,Street Dedication
2017-02-16,77375,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77386,Residential,1,Compensating Open Space; Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77386,Unrestricted,1,Unrestricted
2017-02-16,77386,Residential,1,Single Family Residential (Public Street)
2017-02-16,77386,Unrestricted,1,Unrestricted
2017-02-16,77388,Unrestricted,1,Unrestricted
2017-02-16,77389,Other,1,"Church, School and Institutional"
2017-02-16,77396,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77406,Residential,1,Landscape or Open Space; Recreation; Single Family Residential (Public Street)
2017-02-16,77406,Unrestricted,1,Unrestricted
2017-02-16,77406,Other,1,Street Dedication
2017-02-16,77407,Unrestricted,1,Unrestricted
2017-02-16,77407,Unrestricted,1,Unrestricted
2017-02-16,77433,Residential,1,Single Family Residential (Public Street)
2017-02-16,77433,Commercial,1,Commercial
2017-02-16,77433,Residential,1,Single Family Residential (Public Street)
2017-02-16,77433,Residential,1,Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77447,Unrestricted,1,Unrestricted
2017-02-16,77449,Unrestricted,1,Unrestricted
2017-02-16,77484,Residential,1,Single Family Residential (Public Street)
2017-02-16,77493,Commercial,1,Commercial
2017-02-16,77493,Residential,1,Drainage or Detention; Landscape or Open Space; Single Family Residential (Public Street)
2017-02-16,77493,Other,1,Street Dedication
2017-02-16,77498,Residential,1,Single Family Residential (Public Street)
2017-03-13,77002,Unrestricted,1,Unrestricted
2017-03-13,77003,Residential,1,Single Family Residential (Public Street)
2017-03-13,77003,Residential,1,Single Family Residential (Public Street)
2017-03-13,77004,Residential,1,Single Family Residential (Public Street)
2017-03-13,77004,Residential,1,Residential Guest Parking; Single Family Residential (Shared Driveways)
2017-03-13,77004,Unrestricted,1,Unrestricted
2017-03-13,77006,Residential,1,Single Family Residential (Public Street)
2017-03-13,77007,Unrestricted,1,Unrestricted
2017-03-13,77007,Unrestricted,1,Unrestricted
2017-03-13,77007,Residential,1,Single Family Residential (Public Street)
2017-03-13,77008,Residential,1,Single Family Residential (Shared Driveways)
2017-03-13,77008,Residential,1,Single Family Residential (Shared Driveways)
2017-03-13,77008,Residential,1,Single Family Residential (Shared Driveways)
2017-03-13,77008,Residential,1,Single Family Residential (Shared Driveways)
