Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Home mortgage interest paid ,Total charitable contributions,Taxable income,Income tax
,,,,,,,
,,-1,-69,-75,-85,-91,-133
75094,,9560,36726,35188,26235,838026,176467
75094,"$1 under $25,000",2380,704,662,179,5098,477
75094,"$25,000 under $50,000",1220,1684,1637,841,20634,2202
75094,"$50,000 under $75,000",940,2658,2491,1547,35094,4253
75094,"$75,000 under $100,000",910,3603,3512,1875,52651,6827
75094,"$100,000 under $200,000",2740,16334,16310,10431,293070,49467
75094,"$200,000 or more",1370,11743,10576,11362,431479,113241
,,,,,,,
75098,,25380,49913,57152,36021,1181738,192654
75098,"$1 under $25,000",7490,1559,1726,701,18419,1677
75098,"$25,000 under $50,000",5310,4313,4980,2650,93577,9377
75098,"$50,000 under $75,000",3650,6866,8066,4565,138554,16306
75098,"$75,000 under $100,000",2950,8324,9788,5284,175321,22768
75098,"$100,000 under $200,000",5060,22522,26085,15314,512698,83908
75098,"$200,000 or more",920,6329,6507,7507,243169,58618
,,,,,,,
75102,,540,184,268,324,17835,2730
75102,"$1 under $25,000",200,0,0,0,400,35
75102,"$25,000 under $50,000",140,76,0,126,2295,235
75102,"$50,000 under $75,000",80,0,0,0,3148,388
75102,"$75,000 under $100,000",60,0,268,0,3299,403
75102,"$100,000 under $200,000",60,108,0,198,8693,1669
75102,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75103,,5700,4070,5946,6259,222620,37834
75103,"$1 under $25,000",2220,264,379,266,4587,444
75103,"$25,000 under $50,000",1320,437,650,608,22481,2284
75103,"$50,000 under $75,000",770,516,751,724,30015,3490
75103,"$75,000 under $100,000",550,681,1031,1015,32913,4179
75103,"$100,000 under $200,000",670,1405,2075,2289,68596,11112
75103,"$200,000 or more",170,767,1060,1357,64028,16325
,,,,,,,
75104,,22730,30977,37205,47943,825032,140876
75104,"$1 under $25,000",7930,1357,1720,1555,18568,1534
75104,"$25,000 under $50,000",6200,4356,5495,7532,107526,10149
75104,"$50,000 under $75,000",3610,5695,7848,8684,134136,16240
