Zip Code,Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-40,-44,-46,-48,-66
75063,"$50,000 under $75,000",2780,2681,4180,2055,121005,17001
75063,"$75,000 under $100,000",2120,4333,6146,2611,135301,19917
75063,"$100,000 under $200,000",3440,13666,17755,7757,376345,68215
75063,"$200,000 or more",1350,10164,11096,11569,566914,153479
,,,,,,,
75065,,5080,6785,11306,5225,205677,33875
75065,"$1 under $25,000",1710,333,483,125,4789,426
75065,"$25,000 under $50,000",1160,826,1249,469,21542,2206
75065,"$50,000 under $75,000",810,1244,2127,716,32053,3990
75065,"$75,000 under $100,000",540,1118,2014,783,33027,4409
75065,"$100,000 under $200,000",730,2451,4157,2129,75648,13040
75065,"$200,000 or more",130,813,1276,1003,38618,9804
,,,,,,,
75067,,30910,18870,35701,21755,916056,139475
75067,"$1 under $25,000",11780,906,1678,797,34772,2921
75067,"$25,000 under $50,000",9490,2653,5606,3372,182612,19091
75067,"$50,000 under $75,000",4330,3789,7728,3742,179035,23541
75067,"$75,000 under $100,000",2360,3556,6884,3728,149799,21471
75067,"$100,000 under $200,000",2630,6539,11791,7420,272655,47730
75067,"$200,000 or more",320,1427,2014,2696,97183,24721
,,,,,,,
75068,,18150,30750,56686,20368,774634,119405
75068,"$1 under $25,000",5020,1151,2018,486,12700,1091
75068,"$25,000 under $50,000",4020,3739,6869,2143,72911,7022
75068,"$50,000 under $75,000",3370,6254,12297,3496,128239,14690
75068,"$75,000 under $100,000",2440,6146,11552,3953,145725,18784
75068,"$100,000 under $200,000",2920,10641,20074,7297,289360,48067
75068,"$200,000 or more",380,2819,3876,2993,125699,29751
,,,,,,,
75069,,15940,25327,34719,31396,832673,167213
75069,"$1 under $25,000",6770,985,1243,729,15933,1399
75069,"$25,000 under $50,000",3820,1837,2671,1232,64312,6429
75069,"$50,000 under $75,000",1670,2631,3947,1782,65273,8289
75069,"$75,000 under $100,000",1050,2554,3688,2123,64565,9082
75069,"$100,000 under $200,000",1710,7689,10717,6947,177813,30888
75069,"$200,000 or more",920,9631,12453,18583,444777,111126
,,,,,,,
75070,,36980,96203,150314,79372,2754949,533163
75070,"$1 under $25,000",8990,2919,4055,1165,23414,2113
75070,"$25,000 under $50,000",6090,6290,10176,3707,119593,12320
75070,"$50,000 under $75,000",5050,10158,17698,6258,198347,24321
75070,"$75,000 under $100,000",4870,13820,23600,9110,292883,38712
75070,"$100,000 under $200,000",9060,38487,62466,28894,938383,160237
75070,"$200,000 or more",2920,24529,32319,30238,1182329,295460
,,,,,,,
75071,,17420,35785,61604,30187,991413,179599
75071,"$1 under $25,000",4800,897,1382,516,12484,1081
75071,"$25,000 under $50,000",3400,2943,5233,1913,62393,6187
75071,"$50,000 under $75,000",2480,4076,7574,3158,96728,11522
75071,"$75,000 under $100,000",2280,5903,10640,4148,135591,17437
75071,"$100,000 under $200,000",3510,14277,25110,10395,362146,61562
75071,"$200,000 or more",950,7689,11665,10057,322071,81810
,,,,,,,
75074,,20780,15780,28293,17058,735406,143641
75074,"$1 under $25,000",8710,820,1582,465,19874,1705
75074,"$25,000 under $50,000",5300,1865,3986,1623,90755,9123
75074,"$50,000 under $75,000",2550,2473,4825,2211,101611,12924
75074,"$75,000 under $100,000",1550,2411,4380,2407,96970,13605
75074,"$100,000 under $200,000",2220,5812,10304,6008,237328,41626
75074,"$200,000 or more",450,2399,3216,4344,188868,64658
,,,,,,,
75075,,16700,19430,30879,23569,823506,143393
75075,"$1 under $25,000",5470,950,1353,567,14036,1215
75075,"$25,000 under $50,000",3500,1976,3223,1602,66440,7052
