Zip Code,Size of adjusted gross income,Number of returns,Real Estates,Mortgage,Charity,Taxable income,Income tax,date
75048.0,"$50,000 under $75,000",1415.0,3156.0,5449.0,1725.0,55977.0,6770.0,2011-04-01
75048.0,"$75,000 under $100,000",1267.0,3906.0,6906.0,2596.0,75542.0,9857.0,2011-04-01
75048.0,"$100,000 under $200,000",2003.0,8440.0,14693.0,6967.0,205377.0,35467.0,2011-04-01
75048.0,"$200,000 or more",284.0,1736.0,2784.0,2361.0,81778.0,20095.0,2011-04-01
75050.0,"$1 under $25,000",8315.0,506.0,976.0,363.0,20958.0,1560.0,2011-04-01
75050.0,"$25,000 under $50,000",5718.0,1535.0,2389.0,1964.0,101166.0,9543.0,2011-04-01
75050.0,"$50,000 under $75,000",2140.0,1695.0,3205.0,1974.0,87135.0,11253.0,2011-04-01
75050.0,"$75,000 under $100,000",1003.0,1444.0,2382.0,1832.0,63263.0,9086.0,2011-04-01
75050.0,"$100,000 under $200,000",879.0,2227.0,3396.0,3210.0,92082.0,16469.0,2011-04-01
75050.0,"$200,000 or more",159.0,875.0,1040.0,1766.0,62499.0,14772.0,2011-04-01
75051.0,"$1 under $25,000",8291.0,425.0,800.0,502.0,17820.0,1287.0,2011-04-01
75051.0,"$25,000 under $50,000",4745.0,1394.0,2870.0,1466.0,75665.0,6459.0,2011-04-01
75051.0,"$50,000 under $75,000",1519.0,1347.0,2960.0,1457.0,56297.0,6312.0,2011-04-01
75051.0,"$75,000 under $100,000",543.0,650.0,1289.0,862.0,32659.0,4272.0,2011-04-01
75051.0,"$100,000 under $200,000",277.0,705.0,794.0,995.0,26908.0,4601.0,2011-04-01
75051.0,"$200,000 or more",27.0,0.0,0.0,0.0,13057.0,3325.0,2011-04-01
75052.0,"$1 under $25,000",14605.0,2371.0,4408.0,1380.0,37703.0,2857.0,2011-04-01
75052.0,"$25,000 under $50,000",10648.0,8029.0,15404.0,6852.0,191792.0,17448.0,2011-04-01
75052.0,"$50,000 under $75,000",6058.0,9376.0,18068.0,9065.0,233627.0,27810.0,2011-04-01
75052.0,"$75,000 under $100,000",3706.0,8228.0,15265.0,8272.0,222509.0,29588.0,2011-04-01
75052.0,"$100,000 under $200,000",4030.0,12622.0,22812.0,15406.0,397848.0,67469.0,2011-04-01
75052.0,"$200,000 or more",368.0,1650.0,2766.0,2821.0,122023.0,29822.0,2011-04-01
75054.0,"$1 under $25,000",870.0,384.0,533.0,247.0,2266.0,178.0,2011-04-01
75054.0,"$25,000 under $50,000",639.0,1041.0,1712.0,612.0,11573.0,1070.0,2011-04-01
75054.0,"$50,000 under $75,000",613.0,1932.0,3201.0,1095.0,23349.0,2895.0,2011-04-01
75054.0,"$75,000 under $100,000",570.0,2295.0,4017.0,1574.0,32696.0,4329.0,2011-04-01
75054.0,"$100,000 under $200,000",1212.0,6485.0,11685.0,4601.0,121240.0,20755.0,2011-04-01
75054.0,"$200,000 or more",211.0,1581.0,2724.0,1944.0,50536.0,12255.0,2011-04-01
75056.0,"$1 under $25,000",7107.0,1301.0,2403.0,550.0,20894.0,1738.0,2011-04-01
75056.0,"$25,000 under $50,000",5821.0,3701.0,7064.0,2255.0,116354.0,12236.0,2011-04-01
75056.0,"$50,000 under $75,000",3459.0,5182.0,9784.0,3255.0,140517.0,18159.0,2011-04-01
75056.0,"$75,000 under $100,000",2316.0,5847.0,9850.0,3704.0,142382.0,19807.0,2011-04-01
75056.0,"$100,000 under $200,000",3731.0,17721.0,28159.0,11408.0,391307.0,68784.0,2011-04-01
75056.0,"$200,000 or more",1321.0,13558.0,19097.0,12073.0,439155.0,111673.0,2011-04-01
