"ZIP
code [1]",Size of adjusted gross income,Number of returns,Real estate taxes,Mortgage interest paid,Total Charitable Contributions,Taxable income,Income tax
,,,,,,,
,,-1,-60,-64,-66,-68,-100
75074,"$50,000 under $75,000",2640,2322,4195,2344,104712,13143
75074,"$75,000 under $100,000",1620,2531,4067,2256,101472,14355
75074,"$100,000 under $200,000",2380,6241,9684,6542,253799,44324
75074,"$200,000 or more",500,2633,3108,3625,213330,39546
,,,,,,,
75075,,16890,19184,27590,22731,833707,144888
75075,"$1 under $25,000",5390,856,1090,609,13378,1117
75075,"$25,000 under $50,000",3520,1866,3524,1540,67513,7143
75075,"$50,000 under $75,000",2230,2762,4307,2327,92621,12230
75075,"$75,000 under $100,000",1850,3319,4853,3026,117904,16737
75075,"$100,000 under $200,000",3180,7674,10817,8994,344937,60195
75075,"$200,000 or more",720,2707,2999,6235,197354,47466
,,,,,,,
75076,,3420,3246,4589,3686,141792,24237
75076,"$1 under $25,000",1250,184,250,122,2974,272
75076,"$25,000 under $50,000",800,310,459,314,14773,1567
75076,"$50,000 under $75,000",510,463,686,436,20408,2570
75076,"$75,000 under $100,000",320,498,697,509,19147,2534
75076,"$100,000 under $200,000",420,992,1599,1066,42553,7105
75076,"$200,000 or more",120,799,898,1239,41937,10189
,,,,,,,
75077,,17250,42826,55431,40799,1282197,261622
75077,"$1 under $25,000",4810,1127,1368,579,12969,1175
75077,"$25,000 under $50,000",2720,2441,3494,1586,54189,5706
75077,"$50,000 under $75,000",2200,4006,5427,2962,87755,11014
75077,"$75,000 under $100,000",1930,5118,7169,3556,117739,15640
75077,"$100,000 under $200,000",3980,17557,23528,13845,419462,71556
75077,"$200,000 or more",1610,12577,14445,18271,590083,156531
,,,,,,,
75078,,6670,29864,40174,22921,688153,150717
75078,"$1 under $25,000",1470,358,465,173,3762,336
75078,"$25,000 under $50,000",810,849,1188,457,14781,1476
75078,"$50,000 under $75,000",570,1435,2006,915,21915,2675
75078,"$75,000 under $100,000",590,2222,2903,1417,34169,4386
75078,"$100,000 under $200,000",1960,12247,16899,7350,206450,34807
75078,"$200,000 or more",1270,12753,16713,12609,407076,107037
,,,,,,,
75080,,20260,27437,32838,31275,1038714,192838
75080,"$1 under $25,000",6690,1141,1577,557,15567,1292
75080,"$25,000 under $50,000",4360,2364,3053,1912,82209,8528
75080,"$50,000 under $75,000",2850,3594,4797,2978,119331,15827
75080,"$75,000 under $100,000",2030,3554,4416,3192,130961,18947
75080,"$100,000 under $200,000",3280,10134,12363,10081,353834,61510
75080,"$200,000 or more",1050,6650,6632,12555,336812,86734
,,,,,,,
75081,,17600,14199,18499,19230,679710,112250
75081,"$1 under $25,000",6230,912,1191,629,15082,1277
75081,"$25,000 under $50,000",4290,1935,2771,1919,82965,8695
75081,"$50,000 under $75,000",2620,2595,3590,3030,109351,14516
75081,"$75,000 under $100,000",1820,2661,3664,2786,114746,16419
75081,"$100,000 under $200,000",2250,4719,5970,6635,238034,41325
75081,"$200,000 or more",390,1377,1313,4231,119532,30018
,,,,,,,
75082,,9980,25975,26065,28185,927442,196210
75082,"$1 under $25,000",2460,805,662,325,6034,541
75082,"$25,000 under $50,000",1470,1281,1443,812,30524,3378
75082,"$50,000 under $75,000",1140,1976,2243,1274,47334,6267
75082,"$75,000 under $100,000",1090,2788,3053,1897,68555,9796
75082,"$100,000 under $200,000",2550,10844,11114,8485,282304,49501
75082,"$200,000 or more",1270,8281,7550,15392,492691,126727
,,,,,,,
75087,,14670,31997,45641,30847,906311,163726
75087,"$1 under $25,000",3800,1117,1606,589,9304,829
75087,"$25,000 under $50,000",2430,2051,2975,1622,46867,4866
75087,"$50,000 under $75,000",2040,3987,5837,2639,80458,9830
75087,"$75,000 under $100,000",1830,4977,7344,3967,109897,14141
75087,"$100,000 under $200,000",3660,14317,21018,12883,380626,64043
75087,"$200,000 or more",910,5548,6861,9147,279159,70017
,,,,,,,
75088,,11820,15376,22227,17125,570908,100590
75088,"$1 under $25,000",3650,630,920,330,9409,816
75088,"$25,000 under $50,000",2530,1565,2950,1273,47676,4910
75088,"$50,000 under $75,000",1780,2276,3598,2173,70805,8732
75088,"$75,000 under $100,000",1370,2465,3714,2410,84704,11511
75088,"$100,000 under $200,000",2060,6116,8325,6912,216005,37043
75088,"$200,000 or more",430,2324,2720,4027,142309,37578
,,,,,,,
75089,,13800,20386,33832,20027,615735,98724
75089,"$1 under $25,000",4360,982,1460,463,10651,918
75089,"$25,000 under $50,000",2580,2209,4311,1499,46259,4577
75089,"$50,000 under $75,000",2020,3351,5823,2677,78351,9301
75089,"$75,000 under $100,000",1780,3734,6207,3454,107778,14135
75089,"$100,000 under $200,000",2660,8273,13222,8869,272922,45755
75089,"$200,000 or more",400,1837,2809,3065,99774,24038
,,,,,,,
75090,,9490,2799,4463,4853,196605,29513
75090,"$1 under $25,000",4790,176,296,313,10047,880
75090,"$25,000 under $50,000",2600,411,770,681,39636,3768
75090,"$50,000 under $75,000",1060,430,717,580,40548,4707
75090,"$75,000 under $100,000",500,511,833,852,30259,3936
75090,"$100,000 under $200,000",460,857,1425,1351,45524,7552
75090,"$200,000 or more",80,414,422,1076,30591,8670
,,,,,,,
75092,,10290,7632,10047,12677,385860,66439
75092,"$1 under $25,000",3920,340,503,362,10231,923
75092,"$25,000 under $50,000",2640,909,1264,1094,48281,4994
75092,"$50,000 under $75,000",1510,1058,1641,1430,60238,7278
75092,"$75,000 under $100,000",950,1136,1762,1686,57982,7613
75092,"$100,000 under $200,000",990,2258,2992,3969,102362,17167
75092,"$200,000 or more",280,1931,1885,4136,106766,28464
,,,,,,,
75093,,23390,91415,84138,94237,3294472,843530
75093,"$1 under $25,000",5850,1916,1928,602,15550,1371
75093,"$25,000 under $50,000",4010,3222,3225,1800,85738,9363
75093,"$50,000 under $75,000",2740,4285,4898,2792,115650,15872
75093,"$75,000 under $100,000",1950,5274,5729,3328,121207,17831
75093,"$100,000 under $200,000",4460,24531,24578,14713,490238,86486
75093,"$200,000 or more",4380,52187,43780,71002,2466089,712607
,,,,,,,
75094,,8960,29927,38175,22171,754456,154990
75094,"$1 under $25,000",2130,517,638,216,4666,384
75094,"$25,000 under $50,000",1070,1490,1951,652,18159,1776
75094,"$50,000 under $75,000",940,2499,3329,1344,35322,4034
75094,"$75,000 under $100,000",920,2980,3986,1707,54841,6950
75094,"$100,000 under $200,000",2780,14093,18240,10042,298644,51103
75094,"$200,000 or more",1120,8348,10031,8210,342824,90743
,,,,,,,
75098,,22880,36065,53792,30015,958842,149900
75098,"$1 under $25,000",7150,1283,1836,674,17423,1518
75098,"$25,000 under $50,000",5000,4005,6223,2471,89587,8737
75098,"$50,000 under $75,000",3550,6016,9506,4006,136486,16008
75098,"$75,000 under $100,000",2730,6858,10502,4530,163508,20828
75098,"$100,000 under $200,000",3920,14569,21613,11432,393568,64758
75098,"$200,000 or more",530,3334,4112,6902,158270,38051
,,,,,,,
75102,,540,149,384,267,15040,2227
75102,"$1 under $25,000",220,0,0,0,443,39
75102,"$25,000 under $50,000",150,70,166,137,2559,259
75102,"$50,000 under $75,000",80,0,0,0,3160,370
75102,"$75,000 under $100,000",50,79,218,130,2910,371
75102,"$100,000 under $200,000",40,0,0,0,5968,1188
75102,"$200,000 or more",0,0,0,0,0,0
,,,,,,,
75103,,5390,3543,5976,5440,190120,30944
75103,"$1 under $25,000",2110,260,301,179,4223,385
75103,"$25,000 under $50,000",1270,450,773,603,20692,2021
75103,"$50,000 under $75,000",760,490,923,736,29708,3484
75103,"$75,000 under $100,000",550,654,1186,923,32992,4199
75103,"$100,000 under $200,000",570,1168,2120,2096,58144,9589
75103,"$200,000 or more",130,521,673,903,44361,11266
,,,,,,,
75104,,21380,26250,42837,40075,759418,125898
75104,"$1 under $25,000",7790,1327,2198,1327,17785,1428
75104,"$25,000 under $50,000",5840,4555,7695,6434,103760,9726
75104,"$50,000 under $75,000",3230,4713,8596,7649,122381,14750
75104,"$75,000 under $100,000",1830,3792,6995,6137,108922,14697
